user_id,timestamp,final_emotion,fusion_confidence,face_emotion,face_confidence,voice_emotion,voice_confidence,history_emotion,history_confidence,weights_used,playlist_count,processing_time
1,2025-07-28 02:04:51.914437,Happy,0.3509285985618643,Happy,0.7628926,,0.0,Happy,0.5,"{'face': 0.39772727272727276, 'voice': 0.3181818181818182, 'history': 0.2840909090909091}",12,48.76901149749756
99,2025-07-28 02:08:09.577997,Happy,0.2257535764660189,Happy,0.4429943,,0.0,Happy,0.6,"{'face': 0.39772727272727276, 'voice': 0.3181818181818182, 'history': 0.2840909090909091}",0,51.54499387741089
1,2025-07-28 02:11:12.058336,Neutral,0.41061566866591953,Neutral,0.7712671,,0.0,Sad,0.5,"{'face': 0.39772727272727276, 'voice': 0.3181818181818182, 'history': 0.2840909090909091}",12,39.88320446014404
1,2025-07-28 02:15:12.950766,Happy,0.2858421918689028,Neutral,0.5170982,,0.0,Neutral,0.6,"{'face': 0.39772727272727276, 'voice': 0.3181818181818182, 'history': 0.2840909090909091}",12,40.692667722702026
